SEQN,RIDSTATR,Gender,Age,Race,EducationLevel,AnnualHouseholdIncome,RatioFIP,LowIncome
93706,2,1,18,5,15,,,
93712,2,1,18,1,12,4,0.76,1
93938,2,2,18,5,11,10,3.37,1
94001,2,2,18,1,11,,,2
94144,2,1,18,5,11,6,1.64,1
94148,2,2,18,1,13,7,1.73,1
94164,2,2,18,5,12,6,1.47,1
94217,2,1,18,5,13,15,5,1
94235,2,2,18,3,13,1,0.17,2
94271,2,1,18,3,13,3,0.86,1
94305,2,2,18,3,13,14,3.71,1
94394,2,2,18,5,15,5,0.87,2
94423,2,1,18,5,66,3,0.41,1
94467,2,2,18,5,13,4,0.93,1
94545,2,1,18,5,13,,,1
94574,2,1,18,4,13,14,2.02,1
94659,2,1,18,5,13,12,,2
94723,2,2,18,3,11,6,1.15,2
94816,2,2,18,3,13,1,0.12,1
94874,2,1,18,3,13,14,5,1
94910,2,1,18,3,13,15,4.81,2
94983,2,2,18,5,13,7,0.79,2
94994,2,2,18,2,13,77,,1
95090,2,1,18,5,15,2,0.32,2
95204,2,2,18,5,13,15,3.4,1
95264,2,2,18,5,11,9,2.89,2
95269,2,1,18,4,11,,,2
95283,2,1,18,1,13,2,0.41,1
95420,2,2,18,1,11,7,1.16,1
95432,2,2,18,3,13,10,1.97,1
95485,2,1,18,3,12,15,4.76,2
95555,2,1,18,1,13,8,1.45,2
95628,2,2,18,5,11,6,1.02,2
95686,2,1,18,3,13,4,0.65,1
95705,2,1,18,3,11,,,1
95782,2,1,18,3,11,8,1.19,1
95874,2,2,18,2,13,5,0.82,2
95927,2,2,18,4,15,13,,1
95948,2,2,18,3,13,10,2.64,2
95953,2,2,18,3,13,8,1.79,2
96233,2,1,18,4,12,12,,2
96238,2,1,18,3,13,6,1.06,2
96241,2,2,18,5,13,15,5,1
96388,1,1,18,2,13,6,1.1,2
96402,2,1,18,4,11,,,1
96478,2,1,18,5,10,5,0.64,1
96516,2,2,18,3,13,1,0.08,1
96565,2,2,18,1,15,8,1.41,1
96675,2,2,18,3,13,7,1.49,2
96693,2,2,18,5,13,15,2.76,1
96696,2,1,18,1,13,4,0.72,2
96823,2,1,18,3,13,7,1.22,1
96945,2,1,18,3,14,13,,1
97075,2,2,18,4,13,7,1.71,2
97144,2,1,18,3,14,10,1.5,1
97173,2,2,18,3,13,14,4.6,2
97313,2,2,18,3,13,15,5,2
97345,2,1,18,5,11,5,1.34,2
97631,2,2,18,4,13,15,3.03,1
97799,2,1,18,5,13,99,,2
97806,2,2,18,3,15,1,0.29,2
97825,2,1,18,3,11,6,1.66,1
97873,1,1,18,3,15,15,5,1
97882,2,2,18,1,15,15,5,2
97918,2,2,18,5,13,8,2.03,2
97991,2,1,18,5,13,12,0,2
98022,2,2,18,4,13,7,1.64,2
98170,2,2,18,1,11,,,1
98212,2,2,18,3,15,1,0,1
98277,2,2,18,3,15,15,5,1
98352,2,1,18,3,15,14,3.19,2
98411,2,2,18,5,15,14,4.6,2
98427,2,1,18,5,11,10,2.59,2
98493,2,2,18,1,13,5,0.8,2
98504,2,1,18,4,12,6,1.64,1
98596,2,1,18,5,13,15,5,1
98618,2,1,18,1,13,3,0.52,2
98695,2,1,18,4,11,12,,1
98697,2,1,18,3,13,15,5,2
98829,2,1,18,1,13,15,3.85,2
98883,2,2,18,1,13,6,0.96,2
98927,2,2,18,4,13,14,3.46,1
99015,2,1,18,1,13,,0.37,2
99043,2,1,18,3,13,10,2.53,1
99082,1,2,18,3,13,12,,2
99173,2,1,18,1,13,12,,2
99192,1,2,18,3,13,5,1.66,2
99201,2,2,18,5,13,15,5,1
99249,2,2,18,5,11,8,1.56,2
99275,2,2,18,2,13,,0.87,2
99417,2,1,18,5,13,3,0.48,1
99491,2,1,18,1,15,77,,1
99502,2,1,18,1,13,4,0.91,2
99552,2,2,18,4,11,6,0.99,1
99632,2,1,18,3,13,15,5,1
99697,2,2,18,1,13,7,1.22,2
99757,2,2,18,2,11,,,1
99800,2,1,18,2,13,99,,1
99830,2,1,18,5,13,8,1.7,2
99847,1,2,18,5,13,,,2
99988,2,1,18,3,10,8,1.83,1
100035,2,2,18,4,11,6,0.92,2
100073,2,1,18,5,13,1,0,1
100082,2,2,18,5,11,6,1.04,1
100176,1,1,18,5,11,5,1.37,1
100260,2,2,18,3,11,6,0.87,1
100262,2,2,18,1,13,1,0,1
