,City Name,State Name,Latitude,Longitude,Facility ID,Facility Name,Emission,Gas Code,Gas Name,Year
0,Noble,Louisiana,31.621528,-93.724774,1009343,Baker Road Treater,6.854,N2O,Nitrous Oxide,2012
1,Bedford,Kentucky,38.5847,-85.4117,1006542,Trimble County,7635064.7,CO2,Carbon Dioxide,2018
2,Cartersville,Georgia,34.242779,-84.797775,1001103,Gerdau Ameristeel Cartersville Steel Mill,26.75,CH4,Methane,2017
3,Delta,Utah,38.938951,-112.816647,1002928,Graymont Western Us Inc. Cricket Mountain,1876.2079999999999,N2O,Nitrous Oxide,2014
4,Manhattan,Illinois,41.3937,-87.9437,1001369,Lincoln Generating Facility,12.515999999999998,N2O,Nitrous Oxide,2011
5,Hilo,Hawaii,19.70467,-155.06314,1001552,Hawaii Electric Light Co (Helco) - Kanoelehua Hill Generating Station,174589.9,CO2,Carbon Dioxide,2017
6,Tempe,Arizona,33.447479,-111.95281899999999,1009888,Salt River Project - T & D Equipment,6919.8,SF6,Sulfur Hexafluoride,2012
7,Pittsburgh,Pennsylvania,40.442188,-80.000854,1010233,Eqt Production  Llc - Basin 160A - Appalachian Eastern Overthrust,233152.4,CO2,Carbon Dioxide,2014
8,Amarillo,Texas,35.258611,-101.642222,1001680,Tyson Fresh Meats,88.208,N2O,Nitrous Oxide,2017
9,Robinson,Illinois,39.0,-87.7222,1000099,Robinson Refinery,10465.75,CH4,Methane,2015
10,Houston,Texas,29.72063,-95.39372,1004671,Rice University,25324.7,CO2,Carbon Dioxide,2017
11,Stock Island,Florida,24.5636,-81.7342,1001058,Stock Island,1967.8,CO2,Carbon Dioxide,2013
12,Selkirk,New York,42.5744,-73.8592,1001225,Selkirk Cogen Partners,521.202,N2O,Nitrous Oxide,2013
13,Souderton,Pennsylvania,40.283058000000004,-75.341965,1004257,Jbs Souderton  Inc. - Rendering Facility,23.541999999999998,N2O,Nitrous Oxide,2017
14,Andover,Massachusetts,42.614129999999996,-71.16951999999999,1004343,Pfizer,25.926,N2O,Nitrous Oxide,2017
15,Stanton,Kentucky,37.89,-83.8625,1004361,Columbia Gulf Transmission Llc Stanton Cs,544.0,CH4,Methane,2017
16,El Dorado,Arkansas,33.178611,-92.719167,1004578,Tetra Technologies  Inc.,40449.1,CO2,Carbon Dioxide,2017
17,Buda,Texas,30.0536,-97.8572,1002102,Texas Lehigh Cement Company Lp,2318.44,N2O,Nitrous Oxide,2017
18,Buda,Texas,30.0536,-97.8572,1002102,Texas Lehigh Cement Company Lp,950281.5,CO2,Carbon Dioxide,2017
19,Denver,Colorado,39.7477036,-104.9897862,1009714,Fepc 220 Gulf Coast Basin,191015.75,CH4,Methane,2011
20,Evadale,Texas,30.3387,-94.06635,1002305,Westrock Texas  L.P.,7192.826,N2O,Nitrous Oxide,2017
21,Tehachapi,California,35.12279,-118.369304,1002566,Lehigh Southwest Cement Co,620.0,CH4,Methane,2017
22,Butler,Pennsylvania,40.82926,-79.94273000000001,1002903,Ak Steel Corp/Butler Works,270719.4,CO2,Carbon Dioxide,2017
23,Donaldsonville,Louisiana,30.098563000000002,-90.95599,1002301,Cf Industries Nitrogen  Llc - Donaldsonville Nitrogen Complex,2319611.14,N2O,Nitrous Oxide,2015
24,Evadale,Texas,30.3387,-94.06635,1002305,Westrock Texas  L.P.,1751151.5,BIOCO2,Biogenic CO2,2015
25,Ridgecrest,California,35.6029,-117.7388,1002897,Ridgecrest-Inyokern Sanitary Landfill,3621.25,CH4,Methane,2011
26,Niagara Falls,New York,43.0839,-79.0056,1001245,Covanta Niagara,482088.9,CO2,Carbon Dioxide,2015
27,Searcy,Arkansas,35.255486,-91.84477199999999,1008009,Harmony Compressor Station,40.23,N2O,Nitrous Oxide,2015
28,Gramercy,Louisiana,30.0615,-90.6659,1007929,Noranda Alumina,436.272,N2O,Nitrous Oxide,2015
29,Baconton,Georgia,31.3869,-84.0819,1001409,Baconton,49.25,CH4,Methane,2011
30,Fort Collins,Colorado,40.49682,-105.11551999999999,1005928,Larimer County Landfill,169794.75,CH4,Methane,2018
31,Kaukauna,Wisconsin,44.2829,-88.2518,1002339,Thilmany Mill,3033.938,N2O,Nitrous Oxide,2013
32,Camden,Arkansas,33.5648,-92.7917,1006593,Mcclellan,18.178,N2O,Nitrous Oxide,2019
33,Denver City,Texas,33.02778,-102.81971999999999,1002630,Willard Co2 Separation Plant,93717.3,CO2,Carbon Dioxide,2015
34,Laurel,Montana,45.65922,-108.76778,1006671,Chs Inc Laurel Refinery,226533.4,CO2,Carbon Dioxide,2015
35,Bergen,New York,43.064170000000004,-77.93290999999999,1002951,Riga/Mill Seat Landfill,573.2,CO2,Carbon Dioxide,2018
36,Ponca City,Oklahoma,36.66616,-97.07163,1006287,Continental Carbon Ponca City Plant,8.344,N2O,Nitrous Oxide,2013
37,Carlsbad,California,33.1408,-117.3342,1005837,Cabrillo Power I Encina Power Station,127.24600000000001,N2O,Nitrous Oxide,2010
38,Westlake,Louisiana,30.252221999999996,-93.284444,1007750,Axiall  Llc,31.75,CH4,Methane,2013
39,Westlake,Louisiana,30.252221999999996,-93.284444,1007750,Axiall  Llc,37.846,N2O,Nitrous Oxide,2013
40,Albion,Michigan,42.259646000000004,-84.789726,1007933,The Andersons Marathon Holdings Llc,221845.0,CO2,Carbon Dioxide,2018
41,Cedar Rapids,Iowa,41.9439,-91.6386,1001548,Prairie Creek,3022.75,CH4,Methane,2010
42,Cashion,Oklahoma,35.789462,-97.744557,1003194,Panhandle Eastern Pipe Line Co - Cashion,10.132,N2O,Nitrous Oxide,2019
43,Moselle,Mississippi,31.524558000000003,-89.307233,1009838,Southern Hens  Inc.,9695.8,CO2,Carbon Dioxide,2018
44,Austin,Texas,30.27065,-97.66924,1010066,Nxp Semiconductors - Eb Site,9104.8098,HFC,HFCs,2018
45,Tacoma,Washington,47.26384,-122.42533200000001,1000624,Westrock Tacoma Mill,122329.5,CO2,Carbon Dioxide,2018
46,Sparks,Nevada,39.5625,-119.525,1007549,Tracy,1044.192,N2O,Nitrous Oxide,2019
47,Springfield,Missouri,37.1519,-93.3892,1001044,John Twitty,1740614.0,CO2,Carbon Dioxide,2019
48,Hamilton,Ohio,39.4099,-84.5544,1000856,Hamilton Municipal Power Plant,1.25,CH4,Methane,2019
49,Indiantown,Florida,27.0536,-80.5628,1001013,Martin,2040.0,CH4,Methane,2019
50,Weston,Missouri,39.4472,-94.98,1001018,Iatan Generating Station,37402.873999999996,N2O,Nitrous Oxide,2019
51,Wheatfield,Indiana,41.2175,-87.0239,1001023,R M Schahfer Generating Station,30632.314,N2O,Nitrous Oxide,2019
52,Lakeland,Florida,28.0809,-81.9256,1001500,C D Mcintosh Jr Power Plant,2990.75,CH4,Methane,2019
53,Aquasco,Maryland,38.5444,-76.6861,1000649,Chalk Point,4715380.3,CO2,Carbon Dioxide,2010
54,Hamlet,North Carolina,34.8422,-79.7367,1000462,Ncemc Hamlet Plant,11.0,CH4,Methane,2013
55,Conley,Georgia,33.67103,-84.34245,1006229,Live Oak Landfill & Recyling Center,8040.75,CH4,Methane,2017
56,Charlestown,Massachusetts,42.3917,-71.0667,1000653,Mystic,906591.9,CO2,Carbon Dioxide,2019
57,River Rouge,Michigan,42.2733,-83.1131,1000677,River Rouge,1375.25,CH4,Methane,2019
58,Trenton,Michigan,42.1236,-83.1811,1000679,Trenton Channel,7534.93,N2O,Nitrous Oxide,2019
59,Hoyt Lakes,Minnesota,47.5306,-92.1619,1000686,Laskin Energy Center,6.75,CH4,Methane,2019
60,St Joseph,Missouri,39.7246,-94.8773,1006852,Lake Road Generating Station,289333.5,CO2,Carbon Dioxide,2019
61,Garyville,Louisiana,30.06273,-90.58819,1002727,Air Products And Chemicals Inc - Garyville,913954.5,CO2,Carbon Dioxide,2018
62,Greeley,Colorado,40.35035,-104.80237,1003798,Central Weld Sanitary Landfill,22111.25,CH4,Methane,2018
63,Athol,Idaho,47.917428,-116.755223,1004781,Gas Transmission Northwest Pipeline Athol Cs#5,106566.0,CO2,Carbon Dioxide,2018
64,Gresham,Oregon,45.52065,-122.44748999999999,1004883,Microchip Technology Inc,8.3,BIOCO2,Biogenic CO2,2018
65,Port Neches,Texas,29.964146000000003,-93.930138,1002884,Tpc Group,141660.1,CO2,Carbon Dioxide,2018
66,Trenton,New Jersey,40.216903,-74.765378,1003084,Vicinity Energy Trenton  L.P.,32049.2,CO2,Carbon Dioxide,2018
67,Lawrence,Kansas,38.979929999999996,-95.21443000000001,1003370,Icl,18.5,CH4,Methane,2018
68,Wayne,Michigan,42.264144,-83.42661,1003582,Waste Management Of Michigan Incorporated,0.298,N2O,Nitrous Oxide,2018
69,Joseph City,Arizona,34.997433,-110.33908000000001,1003611,Painted Desert Landfill,2749.5,CH4,Methane,2018
70,Edison,New Jersey,40.4911,-74.3958,1000744,Edison,43.5,CH4,Methane,2010
71,Madison,Wisconsin,43.045,-89.255,1006096,Dane Cnty Landfill Site #2 Rodefeld,1123.0,CO2,Carbon Dioxide,2017
72,Lawler,Iowa,43.0668,-92.1579,1006141,Homeland Energy Solutions Llc,215612.6,CO2,Carbon Dioxide,2017
73,Grand Island,Nebraska,40.9228,-98.3269,1007596,C W Burdick,1.0,CH4,Methane,2010
74,Weatherford,Texas,32.800653999999994,-97.674429,1003170,Silver Creek Processing Plant,989.5,CH4,Methane,2016
75,Bluffton,Indiana,40.722139,-85.193722,1005791,Valero Renewable Fuels  Llc D/B/A Valero Bluffton Plant,67.0,CH4,Methane,2017
76,Burlington,New Jersey,40.0753,-74.8781,1000743,Burlington Generating Station,80011.6,CO2,Carbon Dioxide,2010
77,Tulsa,Oklahoma,36.059670000000004,-95.95785,1009340,Unit Petroleum 377 Arkoma Basin,9171.3,CO2,Carbon Dioxide,2011
78,Fremont,Nebraska,41.4275,-96.4619,1000722,Lon D Wright Power Plant,1576.5,CH4,Methane,2010
79,Hamilton,Ohio,39.4099,-84.5544,1000856,Hamilton Municipal Power Plant,1080.548,N2O,Nitrous Oxide,2010
80,Cheyenne,Wyoming,41.0949,-104.90799999999999,1005924,Cheyenne Plant,88.208,N2O,Nitrous Oxide,2018
81,Valdez,Alaska,61.083808999999995,-146.250842,1005997,Petro Star Valdez Refinery,21244.0,CO2,Carbon Dioxide,2018
